business,trade,address,postcode,phone,email,email_source,web_presence,companies_house_status,channel,sent_date,outcome
Downtown Barbers,barber,14 Market St,CF37 2ST,+44 7907 072000,,,fresha_only,unchecked,phone,,
Lost Boys Club Barbers,barber,7 Mill St,CF37 2SN,+44 1443 547317,,,directory_only,unchecked,phone,,
George's Barbershop & Hair Salon,barber,1 Crossbrook St,CF37 4TT,+44 7956 867379,,,fresha_only,unchecked,phone,,
Diamond Fadez Barbershop,barber,108 Taff St,CF37 4UY,+44 1443 319898,,,directory_only,unchecked,phone,,
Kmtop Barbershop,barber,15 Bridge St,CF37 4PE,+44 7472 912230,,,facebook_only,unchecked,phone,,
Alaan Williams Hair Experts,hairdresser,9 Market St,CF37 2ST,,,,directory_only,unchecked,phone,,
La Chop Hair Salon,hairdresser,5C Market St,CF37 2ST,+44 1443 405055,,,directory_only,unchecked,phone,,
Pontypridd Nails Beauty Salon,nail salon,7 Ceridwen Terrace,CF37 4PD,+44 7412 524051,,,facebook_only,unchecked,phone,,
Creation Nails,nail salon,25a Taff St,CF37 4UA,+44 1443 400188,,,directory_only,unchecked,phone,,
Heavenly Brows Beauty Salon,beauty salon,25 Taff St,CF37 4UA,+44 1443 408038,,,directory_only,unchecked,phone,,
Bahia Beauty & Hair,beauty salon,95A Ynyslyn Rd Hawthorn,CF37 5AR,,,,directory_only,unchecked,phone,,
Saffron Indian Takeaway,takeaway,13 Bridge St,CF37 4PE,,,,facebook_only,unchecked,phone,,
Cafe Royale Pontypridd,cafe,,,,,,facebook_only,unchecked,phone,,
The Thai Cafe,cafe,,,,,,facebook_only,unchecked,phone,,
Bevans Butchers,butcher,Pontypridd Market,,,,,facebook_only,unchecked,phone,,
Flower Power,florist,Church Village,,,,,facebook_only,unchecked,phone,,
Ponty Convenience Store,convenience store,34 Taff St,CF37 4TR,+44 1443 491052,,,chain_listing,unchecked,phone,,
Groomin Marvellous,dog groomer,,CF37 1EE,+44 7925 849837,,,builder_site_ueni,unchecked,phone,,
